Class,date,Average concurrent viewers,Peak viewers,Percent change in average concurrent viewers ,Percent change in average concurrent viewers from first class,Percent left on average concurrent viewers from first class,Duration
1,1/11/2022,7026,7304,0.00%,0.00%,100.00%,3:23:04
2,1/13/2022,6543,6759,-6.87%,-6.87%,93.13%,3:10:00
3,1/18/2022,6091,6627,-6.91%,-13.31%,86.69%,3:15:02
4,1/20/2022,5466,5713,-10.26%,-22.20%,77.80%,2:50:17
5,1/25/2022,5254,5598,-3.88%,-25.22%,74.78%,3:26:18
6,1/27/2022,4782,5009,-8.98%,-31.94%,68.06%,3:04:45
7,2/1/2022,4916,5113,2.80%,-30.03%,69.97%,3:16:38
8,2/3/2022,4690,4861,-4.60%,-33.25%,66.75%,3:00:28
9,2/8/2022,4508,4588,-3.88%,-35.84%,64.16%,0:50:32
10,2/10/2022,4427,4657,-1.80%,-36.99%,63.01%,2:28:34
11,2/15/2022,4230,4523,-4.45%,-39.80%,60.20%,3:07:02
12,2/17/2022,4421,4663,4.52%,-37.08%,62.92%,2:57:12
13,2/22/2022,4127,4297,-6.65%,-41.26%,58.74%,3:12:26
14,2/24/2022,3693,4030,-10.52%,-47.44%,52.56%,3:19:28
15,3/1/2022,4048,4297,9.61%,-42.39%,57.61%,3:07:00
16,3/3/2022,3541,3904,-12.52%,-49.60%,50.40%,3:29:56
17,3/8/2022,3116,3170,-12.00%,-55.65%,44.35%,0:22:20
18,3/10/2022,3047,3086,-2.21%,-56.63%,43.37%,0:26:22
19,3/15/2022,3288,3504,7.91%,-53.20%,46.80%,3:23:09
20,3/17/2022,3040,3253,-7.54%,-56.73%,43.27%,2:51:40
21,3/22/2022,3307,3438,8.78%,-52.93%,47.07%,3:06:40
22,3/24/2022,2873,2994,-13.12%,-59.11%,40.89%,3:08:42
23,3/29/2022,3224,3775,12.22%,-54.11%,45.89%,3:06:31
24,3/31/2022,3411,3658,5.80%,-51.45%,48.55%,3:15:14
25,4/5/2022,3548,3907,4.02%,-49.50%,50.50%,2:47:38
26,4/7/2022,,,-100.00%,-100.00%,0.00%,
27,4/12/2022,,,,-100.00%,0.00%,
28,4/14/2022,,,,-100.00%,0.00%,
29,4/19/2022,,,,-100.00%,0.00%,
30,4/21/2022,,,,-100.00%,0.00%,
31,4/26/2022,,,,-100.00%,0.00%,
32,4/28/2022,,,,-100.00%,0.00%,
33,5/3/2022,,,,-100.00%,0.00%,
34,5/5/2022,,,,-100.00%,0.00%,
35,5/10/2022,,,,-100.00%,0.00%,
36,5/12/2022,,,,-100.00%,0.00%,
37,5/17/2022,,,,-100.00%,0.00%,
38,5/19/2022,,,,-100.00%,0.00%,
39,5/24/2022,,,,-100.00%,0.00%,
40,5/26/2022,,,,-100.00%,0.00%,
41,5/31/2022,,,,-100.00%,0.00%,
42,6/2/2022,,,,-100.00%,0.00%,
43,6/7/2022,,,,-100.00%,0.00%,
44,6/9/2022,,,,-100.00%,0.00%,
45,6/14/2022,,,,-100.00%,0.00%,
46,6/16/2022,,,,-100.00%,0.00%,
47,6/21/2022,,,,-100.00%,0.00%,
48,6/23/2022,,,,-100.00%,0.00%,
49,6/28/2022,,,,-100.00%,0.00%,
50,6/30/2022,,,,-100.00%,0.00%,
51,7/5/2022,,,,-100.00%,0.00%,
52,7/7/2022,,,,-100.00%,0.00%,
53,7/12/2022,,,,-100.00%,0.00%,
54,7/14/2022,,,,-100.00%,0.00%,
55,7/19/2022,,,,-100.00%,0.00%,
56,7/21/2022,,,,-100.00%,0.00%,
57,7/26/2022,,,,-100.00%,0.00%,
58,7/28/2022,,,,-100.00%,0.00%,
59,8/2/2022,,,,-100.00%,0.00%,
60,8/4/2022,,,,-100.00%,0.00%,
Average total,,4264.68,4509.12,-4.25%,,,2:49:05